",stockTicker,action,date,firm,fromGrade,toGrade"
"9,ACAD,main,2015-08-07,JP Morgan,,Overweight"
"10,ACAD,down,2015-08-07,PiperJaffray,,Neutral"
"11,ACAD,main,2015-05-08,JP Morgan,,Overweight"
"12,ACAD,init,2015-04-16,Leerink Swann,,Outperform"
"13,ACAD,main,2015-03-12,Jefferies,,Buy"
"14,ACAD,main,2015-02-27,JMP Securities,,Market Outperform"
"15,ACAD,init,2015-02-24,H.C. Wainwright,,Buy"
"16,ACAD,main,2015-01-28,Jefferies,,Buy"
"17,ACAD,init,2014-11-21,Cowen & Co.,,Outperform"
"18,ACAD,init,2014-05-15,JP Morgan,,Overweight"
"19,ACAD,down,2013-08-07,McNicoll Lewis Vlak,,Hold"
"20,ACAD,main,2013-06-14,JMP Securities,,Market Outperform"
"21,ACAD,main,2013-04-12,Jefferies,,Buy"
"22,ACAD,up,2013-04-11,PiperJaffray,,Overweight"
"23,ACAD,main,2013-04-11,Roth Capital,,Buy"
"24,ACAD,main,2013-04-11,McNicoll Lewis Vlak,,Buy"
"25,ACAD,main,2013-03-25,McNicoll Lewis Vlak,,Buy"
"26,ACAD,init,2013-03-19,Jefferies,,Buy"
"27,ACAD,init,2013-01-28,Cowen & Co.,,Outperform"
"28,ACAD,up,2012-11-27,Needham,,Buy"
"29,ACAD,init,2012-04-30,Ladenburg Thalmann,,Buy"
"0,ACST,init,2018-01-05,Benchmark,,Speculative Buy"
"0,AXDX,down,2017-12-13,BTIG Research,Buy,Neutral"
"1,AXDX,main,2016-08-09,JP Morgan,,Overweight"
"2,AXDX,init,2016-03-24,JP Morgan,,Overweight"
"3,AXDX,init,2016-01-08,William Blair,,Outperform"
"4,AXDX,init,2015-12-16,PiperJaffray,,Overweight"
"5,AXDX,up,2015-08-25,BTIG Research,,Buy"
"0,XLRN,main,2017-11-14,Credit Suisse,,Outperform"
"1,XLRN,init,2017-10-12,H.C. Wainwright,,Buy"
"2,XLRN,main,2017-09-20,Barclays,,Overweight"
"3,XLRN,init,2017-09-15,RBC Capital,,Sector Perform"
"4,XLRN,down,2017-06-13,Oppenheimer,,Market Perform"
"5,XLRN,init,2017-05-17,Goldman Sachs,,Sell"
"6,XLRN,init,2017-03-14,JP Morgan,,Neutral"
"7,XLRN,init,2017-03-09,UBS,,Buy"
"8,XLRN,init,2017-03-02,Nomura,,Buy"
"9,XLRN,up,2017-03-02,Citigroup,,Buy"
"10,XLRN,init,2016-12-13,Oppenheimer,,Outperform"
"11,XLRN,init,2016-09-29,Citigroup,,Neutral"
"12,XLRN,init,2016-08-19,BTIG Research,,Buy"
"13,XLRN,main,2016-06-13,Barclays,,Overweight"
"14,XLRN,init,2016-04-27,Barclays,,Overweight"
"15,XLRN,up,2016-02-29,Janney Capital,,Buy"
"16,XLRN,init,2016-01-20,Credit Suisse,,Outperform"
"17,XLRN,init,2015-11-20,Oppenheimer,,Outperform"
"18,XLRN,init,2015-08-13,Morgan Stanley,,Overweight"
"19,XLRN,init,2015-06-09,Guggenheim,,Neutral"
"20,XLRN,main,2015-03-03,Citigroup,,Buy"
"21,XLRN,main,2015-03-03,JMP Securities,,Market Outperform"
"22,XLRN,init,2014-08-14,FBR Capital,,Outperform"
"23,XLRN,init,2014-08-14,Leerink Swann,,Outperform"
"24,XLRN,main,2013-12-12,JMP Securities,,Market Outperform"
"25,XLRN,init,2013-10-14,Citigroup,,Buy"
"26,XLRN,init,2013-10-14,Leerink Swann,,Outperform"
"27,XLRN,init,2013-10-14,JMP Securities,,Market Outperform"
"28,XLRN,init,2013-10-14,PiperJaffray,,Overweight"
"0,ANCX,init,2017-11-16,Stephens & Co.,,Overweight"
"1,ANCX,main,2017-10-30,Maxim Group,,Buy"
"2,ANCX,init,2017-03-27,Merion Capital,,Neutral"
"3,ANCX,up,2016-10-25,FBR Capital,,Outperform"
"4,ANCX,down,2016-07-18,Raymond James,,Market Perform"
"5,ANCX,init,2016-03-31,FBR Capital,,Market Perform"
"6,ANCX,init,2015-08-25,Maxim Group,,Buy"
"7,ANCX,up,2015-08-25,Raymond James,,Outperform"
"8,ANCX,main,2015-07-20,Keefe Bruyette & Woods,,Market Perform"
"9,ANCX,main,2015-04-20,Keefe Bruyette & Woods,,Market Perform"
"10,ANCX,down,2015-01-23,""Keefe, Bruyette & Woods"",,Market Perform"
"11,ANCX,up,2014-01-23,Keefe Bruyette & Woods,,Outperform"
"12,ANCX,init,2013-04-04,Raymond James,,Market Perform"
"0,ARAY,down,2017-12-13,JP Morgan,Neutral,Underweight"
"1,ARAY,init,2017-11-30,Lake Street,,Buy"
"2,ARAY,main,2017-08-23,Jefferies,,Buy"
"3,ARAY,init,2017-02-06,Aegis Capital,,Buy"
"4,ARAY,down,2016-12-14,JP Morgan,,Neutral"
"5,ARAY,init,2016-09-13,Cowen & Co.,,Outperform"
"6,ARAY,init,2015-12-22,RBC Capital,,Sector Perform"
"7,ARAY,init,2015-11-12,Citigroup,,Sell"
