",stockTicker,action,date,firm,fromGrade,toGrade"
"19,SPTN,init,2014-09-05,Jefferies,,Hold"
"20,SPTN,up,2014-05-22,Cantor Fitzgerald,,Buy"
"21,SPTN,init,2013-09-25,Deutsche Bank,,Hold"
"22,SPTN,down,2012-08-03,BMO Capital,,Market Perform"
"23,SPTN,init,2012-03-20,Cantor Fitzgerald,,Hold"
"24,SPTN,init,2012-03-16,Cantor Fitzgerald,,Hold"
"0,SPPI,init,2017-12-18,B. Riley,,Buy"
"1,SPPI,init,2017-10-24,Guggenheim,,Buy"
"2,SPPI,main,2017-10-09,Jefferies,,Buy"
"3,SPPI,init,2015-04-02,FBR Capital,,Outperform"
"4,SPPI,main,2015-03-16,Jefferies,,Hold"
"5,SPPI,down,2015-02-23,Roth Capital,,"
"6,SPPI,init,2014-11-19,Jefferies,,Hold"
"7,SPPI,init,2013-10-07,H.C. Wainwright,,Buy"
"8,SPPI,up,2013-07-16,JMP Securities,,Market Outperform"
"9,SPPI,down,2013-06-24,Credit Suisse,,Underperform"
"10,SPPI,init,2013-05-29,Burrill & Company,,Market Outperform"
"11,SPPI,init,2013-04-02,JMP Securities,,Market Perform"
"12,SPPI,init,2013-01-15,Credit Suisse,,Neutral"
"13,SPPI,init,2012-11-27,Dawson James,,Market Outperform"
"0,SPRO,init,2017-11-27,Stifel Nicolaus,,Buy"
"1,SPRO,init,2017-11-27,Cowen & Co.,,Outperform"
"2,SPRO,init,2017-11-27,Bank of America,,Neutral"
"0,ANY,init,2016-01-19,Ladenburg Thalmann,,Buy"
"1,ANY,init,2015-06-24,Roth Capital,,Buy"
"0,SPI,down,2006-11-29,Lehman Brothers,Overweight,Equal-weight"
"1,SPI,up,2006-11-17,Lehman Brothers,Equal-weight,Overweight"
"2,SPI,up,1998-12-08,Salomon Smth Brny,Outperform,Buy"
"0,SAVE,down,2018-01-16,Stifel Nicolaus,Buy,Hold"
"1,SAVE,up,2018-01-09,Bank of America,Neutral,Buy"
"2,SAVE,up,2017-12-21,Deutsche Bank,Hold,Buy"
"3,SAVE,init,2017-11-30,Stephens & Co.,,Overweight"
"4,SAVE,main,2017-11-13,Morgan Stanley,,Equal-Weight"
"5,SAVE,down,2017-11-01,JP Morgan,Neutral,Underweight"
"6,SAVE,main,2017-10-27,Citigroup,,Buy"
"7,SAVE,main,2017-10-27,Buckingham,,Neutral"
"8,SAVE,main,2017-10-23,Morgan Stanley,,Equal-Weight"
"9,SAVE,main,2017-10-17,Stifel Nicolaus,,Buy"
"10,SAVE,down,2017-10-06,Deutsche Bank,Buy,Hold"
"11,SAVE,init,2017-09-26,Macquarie,,Neutral"
"12,SAVE,down,2017-09-15,JP Morgan,Overweight,Neutral"
"13,SAVE,main,2017-09-06,Deutsche Bank,,Buy"
"14,SAVE,main,2017-08-17,Morgan Stanley,,Equal-Weight"
"15,SAVE,main,2017-08-14,Barclays,,Equal-Weight"
"16,SAVE,up,2017-08-01,JP Morgan,Neutral,Overweight"
"17,SAVE,down,2017-07-28,Imperial Capital,Outperform,In-Line"
"18,SAVE,down,2017-07-28,Buckingham,Buy,Neutral"
"19,SAVE,up,2017-07-28,Citigroup,Neutral,Buy"
"20,SAVE,down,2017-07-28,Bank of America,Buy,Hold"
"21,SAVE,main,2017-07-25,Morgan Stanley,,Equal-Weight"
"22,SAVE,main,2017-07-12,Deutsche Bank,,Buy"
"23,SAVE,main,2017-04-20,Imperial Capital,,Outperform"
"24,SAVE,down,2017-01-04,Cowen & Co.,,Market Perform"
"25,SAVE,init,2016-12-15,Barclays,,Equal-Weight"
"26,SAVE,down,2016-11-18,Citigroup,,Neutral"
"27,SAVE,init,2016-09-29,Imperial Capital,,Outperform"
"28,SAVE,main,2016-08-08,Citigroup,,Buy"
"29,SAVE,up,2016-08-04,Raymond James,,Strong Buy"
"30,SAVE,main,2016-08-01,Deutsche Bank,,Buy"
"31,SAVE,main,2016-07-19,Citigroup,,Buy"
"32,SAVE,up,2016-06-20,Credit Suisse,,Outperform"
"33,SAVE,main,2016-04-26,Credit Suisse,,Neutral"
"34,SAVE,down,2016-04-20,JP Morgan,,Neutral"
"35,SAVE,main,2016-04-19,Citigroup,,Buy"
"36,SAVE,main,2016-04-12,Credit Suisse,,Neutral"
"37,SAVE,up,2016-02-26,Raymond James,,Outperform"
"38,SAVE,main,2016-02-04,JP Morgan,,Overweight"
"39,SAVE,up,2016-01-20,Citigroup,,Buy"
"40,SAVE,init,2016-01-14,JP Morgan,,Overweight"
"41,SAVE,up,2016-01-05,Wolfe Research,,Outperform"
"42,SAVE,up,2015-12-22,Stifel Nicolaus,,Buy"
"43,SAVE,main,2015-12-21,Deutsche Bank,,Buy"
"44,SAVE,main,2015-11-24,Barclays,,Overweight"
"45,SAVE,down,2015-10-27,Wolfe Research,,Peer Perform"
"46,SAVE,down,2015-10-26,Wolfe Research,,Peer Perform"
"47,SAVE,down,2015-10-16,Morgan Stanley,,Equal-Weight"
"48,SAVE,main,2015-10-16,Barclays,,Overweight"
"49,SAVE,up,2015-09-25,Cowen & Co.,,Outperform"
"50,SAVE,main,2015-09-25,Citigroup,,Neutral"
"51,SAVE,main,2015-09-17,Barclays,,Overweight"
"52,SAVE,up,2015-08-26,Standpoint Research,,Buy"
"53,SAVE,main,2015-07-15,Imperial Capital,,Outperform"
"54,SAVE,down,2015-07-14,Citigroup,,Neutral"
"55,SAVE,main,2015-07-14,Barclays,,Overweight"
"56,SAVE,main,2015-07-14,Deutsche Bank,,Buy"
"57,SAVE,init,2015-06-23,Morgan Stanley,,Overweight"
"58,SAVE,main,2015-06-18,Barclays,,Overweight"
"59,SAVE,down,2015-06-18,Credit Suisse,,Neutral"
"60,SAVE,up,2015-06-01,Sidoti & Co.,,Buy"
"61,SAVE,main,2015-05-05,Citigroup,,Buy"
"62,SAVE,up,2015-04-30,Evercore ISI Group,,Buy"
"63,SAVE,main,2015-04-30,Barclays,,Overweight"
"64,SAVE,down,2015-03-02,Stifel Nicolaus,,Hold"
"65,SAVE,main,2015-02-18,Citigroup,,Buy"
"66,SAVE,init,2015-02-13,Credit Suisse,,Outperform"
"67,SAVE,main,2015-01-20,CRT Capital,,Buy"
"68,SAVE,main,2015-01-16,Barclays,,Overweight"
"69,SAVE,up,2014-12-16,Raymond James,,Outperform"
"70,SAVE,main,2014-12-15,CRT Capital,,Buy"
"71,SAVE,down,2014-12-09,Raymond James,,Market Perform"
"72,SAVE,main,2014-11-03,Citigroup,,Buy"
"73,SAVE,main,2014-10-29,Wunderlich,,Outperform"
"74,SAVE,main,2014-10-29,Barclays,,Overweight"
"75,SAVE,main,2014-10-29,CRT Capital,,Buy"
"76,SAVE,main,2014-10-29,Deutsche Bank,,Buy"
"77,SAVE,main,2014-10-28,Imperial Capital,,Outperform"
"78,SAVE,main,2014-10-28,Barclays,,Overweight"
"79,SAVE,main,2014-10-15,Barclays,,Overweight"
"80,SAVE,main,2014-10-09,Citigroup,,Buy"
"81,SAVE,main,2014-09-15,Barclays,,Overweight"
"82,SAVE,down,2014-09-10,Cowen & Co.,,Market Perform"
"83,SAVE,main,2014-07-31,Barclays,,Buy"
"84,SAVE,main,2014-07-30,Citigroup,,Buy"
"85,SAVE,main,2014-07-30,CRT Capital,,Buy"
"86,SAVE,down,2014-07-21,Evercore Partners,,Equal-weight"
"87,SAVE,main,2014-07-21,Barclays,,Overweight"
"88,SAVE,main,2014-07-17,CRT Capital,,Buy"
"89,SAVE,main,2014-07-16,Citigroup,,Buy"
"90,SAVE,main,2014-07-16,Raymond James,,Outperform"
"91,SAVE,main,2014-07-11,Barclays,,Overweight"
"92,SAVE,main,2014-05-02,Citigroup,,Buy"
"93,SAVE,init,2014-04-28,Bank of America,,Buy"
"94,SAVE,main,2014-04-17,Barclays,,Overweight"
"95,SAVE,main,2014-03-18,Wolfe Research,,Outperform"
"96,SAVE,init,2014-02-25,Stifel Nicolaus,,Buy"
"97,SAVE,down,2014-02-25,Sidoti & Co.,,Neutral"
"98,SAVE,main,2014-02-20,Imperial Capital,,Outperform"
"99,SAVE,main,2014-02-20,Morgan Stanley,,Overweight"
"100,SAVE,main,2014-01-16,Citigroup,,Buy"
"101,SAVE,main,2014-01-16,Raymond James,,Outperform"
"102,SAVE,main,2013-10-31,Imperial Capital,,Outperform"
"103,SAVE,up,2013-10-11,Citigroup,,Buy"
"104,SAVE,up,2013-08-20,Raymond James,,Outperform"
"105,SAVE,main,2013-08-05,Imperial Capital,,Outperform"
"106,SAVE,down,2013-07-31,Raymond James,,Market Perform"
"107,SAVE,down,2013-07-30,Citigroup,,Neutral"
"108,SAVE,main,2013-05-01,Imperial Capital,,Outperform"
"109,SAVE,main,2013-04-15,Imperial Capital,,Outperform"
"110,SAVE,main,2013-04-12,Citigroup,,Buy"
"111,SAVE,main,2013-04-08,Deutsche Bank,,Buy"
"112,SAVE,main,2013-03-14,Cowen & Co.,,Buy"
"113,SAVE,main,2013-02-20,Imperial Capital,,Outperform"
"114,SAVE,main,2013-02-20,Barclays,,Overweight"
"115,SAVE,up,2012-11-15,Raymond James,,Outperform"
"116,SAVE,main,2012-11-01,Imperial Capital,,Outperform"
"117,SAVE,main,2012-09-17,Imperial Capital,,Outperform"
"118,SAVE,main,2012-09-14,Dahlman Rose,,Buy"
"119,SAVE,main,2012-09-11,Barclays,,Overweight"
"120,SAVE,main,2012-07-25,Imperial Capital,,Outperform"
"121,SAVE,main,2012-05-31,Imperial Capital,,Outperform"
"122,SAVE,main,2012-05-02,Deutsche Bank,,Buy"
"123,SAVE,main,2012-04-17,Dahlman Rose,,Buy"
"124,SAVE,init,2012-04-04,Citigroup,,Buy"
"125,SAVE,main,2012-02-17,Evercore Partners,,Overweight"
"0,SPLK,up,2018-01-08,Barclays,Equal-Weight,Overweight"
"1,SPLK,main,2017-11-20,Citigroup,,Neutral"
"2,SPLK,main,2017-11-17,KeyBanc,,Overweight"
"3,SPLK,up,2017-11-17,Mizuho,Neutral,Buy"
"4,SPLK,main,2017-11-17,Deutsche Bank,,Buy"
"5,SPLK,main,2017-11-17,BTIG Research,,Buy"
"6,SPLK,main,2017-11-17,Maxim Group,,Buy"
"7,SPLK,main,2017-11-17,Canaccord Genuity,,Buy"
"8,SPLK,main,2017-11-17,Bank of America,,Buy"
"9,SPLK,main,2017-11-17,Credit Suisse,,Outperform"
"10,SPLK,main,2017-11-17,BMO Capital,,Outperform"
"11,SPLK,main,2017-11-17,Barclays,,Equal-Weight"
"12,SPLK,main,2017-11-17,UBS,,Buy"
"13,SPLK,main,2017-11-13,Barclays,,Equal-Weight"
"14,SPLK,init,2017-10-23,Needham,,Buy"
"15,SPLK,down,2017-10-02,Morgan Stanley,Overweight,Equal-Weight"
"16,SPLK,init,2017-09-05,Credit Suisse,,Outperform"
"17,SPLK,up,2017-08-25,Susquehanna,Neutral,Positive"
"18,SPLK,main,2017-08-25,Morgan Stanley,,Overweight"
"19,SPLK,main,2017-08-25,BMO Capital,,Outperform"
"20,SPLK,main,2017-08-25,Citigroup,,Neutral"
"21,SPLK,main,2017-08-25,Cowen & Co.,,Outperform"
"22,SPLK,main,2017-08-25,Canaccord Genuity,,Buy"
"23,SPLK,main,2017-08-25,Barclays,,Equal-Weight"
"24,SPLK,up,2017-06-22,Guggenheim,,Buy"
"25,SPLK,init,2017-06-07,Susquehanna,,Neutral"
"26,SPLK,init,2017-04-18,BTIG Research,,Buy"
"27,SPLK,init,2017-03-02,Bernstein,,Outperform"
"28,SPLK,init,2017-01-27,Argus Research,,Hold"
"29,SPLK,init,2017-01-11,Wells Fargo,,Outperform"
"30,SPLK,init,2016-10-14,Piper Jaffray,,Overweight"
"31,SPLK,main,2016-10-12,Citigroup,,Neutral"
"32,SPLK,down,2016-10-04,Guggenheim Securities,,Neutral"
"33,SPLK,init,2016-09-21,Mizuho,,Neutral"
"34,SPLK,init,2016-09-06,Summit Redstone,,Buy"
"35,SPLK,down,2016-08-26,Stifel Nicolaus,,Hold"
"36,SPLK,main,2016-08-26,Barclays,,Equal-Weight"
"37,SPLK,main,2016-08-26,Citigroup,,Neutral"
"38,SPLK,main,2016-08-26,Baird,,Outperform"
"39,SPLK,main,2016-08-26,Canaccord Genuity,,Buy"
"40,SPLK,main,2016-08-08,Morgan Stanley,,Overweight"
"41,SPLK,down,2016-07-20,Citigroup,,Neutral"
"42,SPLK,main,2016-06-16,Stifel Nicolaus,,Buy"
"43,SPLK,main,2016-05-27,Citigroup,,Buy"
"44,SPLK,main,2016-05-27,Morgan Stanley,,Overweight"
"45,SPLK,main,2016-05-27,Credit Suisse,,Outperform"
"46,SPLK,main,2016-05-27,Deutsche Bank,,Buy"
"47,SPLK,main,2016-05-27,Canaccord Genuity,,Buy"
"48,SPLK,main,2016-05-27,Pacific Crest,,Overweight"
"49,SPLK,main,2016-05-27,MKM Partners,,Neutral"
"50,SPLK,main,2016-05-27,RBC Capital,,Outperform"
"51,SPLK,main,2016-05-27,Macquarie,,Outperform"
"52,SPLK,main,2016-05-27,Barclays,,Equal-Weight"
"53,SPLK,main,2016-05-27,SunTrust Robinson Humphrey,,Neutral"
"54,SPLK,init,2016-05-06,MKM Partners,,Neutral"
"55,SPLK,init,2016-04-26,Macquarie,,Outperform"
"56,SPLK,init,2016-03-04,Macquarie,,Outperform"
"57,SPLK,init,2016-03-04,BMO Capital,,Outperform"
"58,SPLK,main,2016-02-26,JP Morgan,,Neutral"
"59,SPLK,main,2016-02-26,Stifel Nicolaus,,Buy"
"60,SPLK,main,2016-02-10,Barclays,,Equal-Weight"
"61,SPLK,init,2016-02-09,Mitsubishi UFJ,,Overweight"
"62,SPLK,main,2016-02-05,Pacific Crest,,Overweight"
"63,SPLK,init,2016-02-03,Maxim Group,,Buy"
"64,SPLK,main,2016-01-06,Barclays,,Equal-Weight"
"65,SPLK,init,2015-12-15,Guggenheim,,Buy"
"66,SPLK,init,2015-12-14,Guggenheim,,Buy"
"67,SPLK,init,2015-12-11,Goldman Sachs,,Neutral"
"68,SPLK,main,2015-11-20,Wedbush,,Outperform"
"69,SPLK,main,2015-09-23,Canaccord Genuity,,Buy"
"70,SPLK,main,2015-08-28,UBS,,Buy"
"71,SPLK,down,2015-08-24,Summit Research Partners,,Hold"
"72,SPLK,init,2015-07-17,RBC Capital,,Outperform"
"73,SPLK,init,2015-07-16,RBC Capital,,Outperform"
"74,SPLK,main,2015-05-29,Barclays,,Equal-Weight"
"75,SPLK,main,2015-05-29,Oppenheimer,,Outperform"
"76,SPLK,main,2015-05-29,Susquehanna,,Positive"
"77,SPLK,up,2015-05-20,Macquarie,,Outperform"
"78,SPLK,init,2015-05-01,SunTrust Robinson Humphrey,,Neutral"
"79,SPLK,init,2015-04-20,Citigroup,,Buy"
"80,SPLK,init,2015-04-17,DA Davidson,,Buy"
"81,SPLK,main,2015-04-16,KeyBanc,,Overweight"
"82,SPLK,init,2015-04-14,Baird,,Outperform"
"83,SPLK,init,2015-04-13,Baird,,Outperform"
"84,SPLK,up,2015-04-07,PiperJaffray,,Overweight"
"85,SPLK,up,2015-04-06,Stephens & Co.,,Overweight"
"86,SPLK,main,2015-02-27,Canaccord Genuity,,Buy"
"87,SPLK,main,2015-02-27,Cantor Fitzgerald,,Buy"
"88,SPLK,main,2015-02-27,Barclays,,Equal-Weight"
"89,SPLK,main,2015-02-27,Jefferies,,Buy"
"90,SPLK,main,2015-02-27,JMP Securities,,Market Outperform"
"91,SPLK,main,2015-02-27,Deutsche Bank,,Buy"
"92,SPLK,init,2014-12-15,Summit Research Partners,,Buy"
"93,SPLK,init,2014-11-21,Jefferies,,Buy"
"94,SPLK,main,2014-11-21,Morgan Stanley,,Overweight"
"95,SPLK,main,2014-11-21,Barclays,,Equal-Weight"
"96,SPLK,main,2014-11-21,Deutsche Bank,,Buy"
"97,SPLK,main,2014-11-21,Stifel Nicolaus,,Buy"
"98,SPLK,main,2014-10-13,Summit Research Partners,,Buy"
"99,SPLK,up,2014-10-13,William Blair,,Outperform"
"100,SPLK,main,2014-10-10,Deutsche Bank,,Buy"
"101,SPLK,up,2014-10-06,Morgan Stanley,,Overweight"
"102,SPLK,init,2014-10-02,Stifel Nicolaus,,Buy"
"103,SPLK,main,2014-09-04,Barclays,,Equal-Weight"
"104,SPLK,main,2014-08-29,Barclays,,Equal-Weight"
"105,SPLK,main,2014-08-29,Deutsche Bank,,Buy"
"106,SPLK,main,2014-08-29,UBS,,Buy"
"107,SPLK,main,2014-08-21,Deutsche Bank,,Buy"
"108,SPLK,init,2014-07-18,BMO Capital,,Market Perform"
"109,SPLK,init,2014-06-02,Janney Capital,,Neutral"
"110,SPLK,main,2014-05-30,Credit Suisse,,Outperform"
"111,SPLK,main,2014-05-30,FBR Capital,,Outperform"
"112,SPLK,main,2014-05-29,Evercore Partners,,"
"113,SPLK,up,2014-05-27,Northland Securities,,Outperform"
"114,SPLK,main,2014-05-23,Barclays,,Equal-Weight"
"115,SPLK,main,2014-05-08,Deutsche Bank,,Buy"
"116,SPLK,up,2014-04-17,CLSA,,Buy"
"117,SPLK,up,2014-04-03,CLSA,,Outperform"
"118,SPLK,init,2014-04-01,Macquarie,,Outperform"
"119,SPLK,main,2014-02-28,Bank of America,,Buy"
"120,SPLK,main,2014-02-20,Bank of America,,Buy"
"121,SPLK,init,2014-01-23,Deutsche Bank,,Buy"
"122,SPLK,main,2014-01-16,Cantor Fitzgerald,,Buy"
"123,SPLK,down,2014-01-10,Barclays,,Equal-weight"
"124,SPLK,up,2014-01-07,UBS,,Buy"
"125,SPLK,init,2013-12-03,Oppenheimer,,Outperform"
"126,SPLK,init,2013-11-13,Jefferies,,Hold"
"127,SPLK,down,2013-10-07,CLSA,,Underperform"
"128,SPLK,down,2013-10-02,Needham,,Hold"
"129,SPLK,init,2013-09-24,Northland Securities,,Market Perform"
"130,SPLK,init,2013-09-23,Goldman Sachs,,Neutral"
"131,SPLK,init,2013-09-19,Cantor Fitzgerald,,Buy"
"132,SPLK,init,2013-09-05,Stephens & Co.,,Equal-Weight"
"133,SPLK,init,2013-09-05,Canaccord Genuity,,Buy"
"134,SPLK,up,2013-08-30,FBR Capital,,Outperform"
"135,SPLK,main,2013-08-30,Wedbush,,Outperform"
"136,SPLK,init,2013-06-26,Wedbush,,Outperform"
"137,SPLK,down,2013-05-13,JG Capital,,Neutral"
"138,SPLK,init,2013-05-10,FBR Capital,,Market Perform"
"139,SPLK,main,2013-03-26,Topeka,,Buy"
"140,SPLK,init,2013-01-24,BMO Capital,,Outperform"
"141,SPLK,init,2013-01-23,BMO Capital,,Outperform"
"142,SPLK,main,2013-01-07,Barclays,,Overweight"
"143,SPLK,init,2012-12-21,Topeka,,Buy"
"144,SPLK,main,2012-11-30,FBN Securities,,Outperform"
"145,SPLK,init,2012-10-09,JG Capital,,Overweight"
"146,SPLK,init,2012-09-27,FBN Securities,,Outperform"
"147,SPLK,main,2012-08-31,JP Morgan,,Overweight"
"148,SPLK,main,2012-08-31,UBS,,Neutral"
"0,SPWH,main,2017-11-17,DA Davidson,,Buy"
"1,SPWH,down,2017-03-27,Goldman Sachs,,Neutral"
"2,SPWH,down,2017-03-24,PiperJaffray,,Neutral"
"3,SPWH,main,2016-03-24,Goldman Sachs,,Buy"
"4,SPWH,init,2015-07-08,MKM Partners,,Buy"
"5,SPWH,init,2015-07-01,Imperial Capital,,Outperform"
"6,SPWH,init,2014-12-18,CRT Capital,,Buy"
"7,SPWH,main,2014-12-05,Credit Suisse,,Outperform"
"8,SPWH,up,2014-08-18,Baird,,Outperform"
"9,SPWH,init,2014-05-12,DA Davidson,,Buy"
"10,SPWH,init,2014-05-12,Credit Suisse,,Outperform"
"11,SPWH,init,2014-05-12,Goldman Sachs,,Buy"
"12,SPWH,init,2014-05-12,Baird,,Neutral"
"13,SPWH,init,2014-05-12,William Blair,,Outperform"
"14,SPWH,init,2014-05-12,Wells Fargo,,Market Perform"
"15,SPWH,init,2014-05-12,PiperJaffray,,Overweight"
"0,SBPH,init,2017-11-06,B. Riley,,Buy"
"1,SBPH,init,2017-07-20,Cantor Fitzgerald,,Overweight"
"2,SBPH,init,2017-05-19,JMP Securities,,Market Perform"
"3,SBPH,init,2017-05-01,Chardan Capital,,Buy"
"0,SFM,up,2017-11-20,Northcoast Research,Neutral,Buy"
"1,SFM,main,2017-11-03,Loop Capital,,Hold"
"2,SFM,main,2017-11-03,Jefferies,,Hold"
"3,SFM,main,2017-11-03,BMO Capital,,Market Perform"
"4,SFM,main,2017-11-03,UBS,,Buy"
"5,SFM,main,2017-10-30,UBS,,Buy"
"6,SFM,main,2017-10-30,Jefferies,,Hold"
"7,SFM,init,2017-10-17,Susquehanna,,Positive"
"8,SFM,init,2017-08-11,Stephens & Co.,,Equal-Weight"
"9,SFM,up,2017-08-04,JP Morgan,Neutral,Overweight"
"10,SFM,down,2017-07-27,Jefferies,Buy,Hold"
"11,SFM,up,2017-06-16,Oppenheimer,,Outperform"
"12,SFM,down,2017-06-15,Morgan Stanley,,Equal-Weight"
"13,SFM,init,2017-05-16,Loop Capital,,Hold"
"14,SFM,init,2017-05-09,Gordon Haskett,,Accumulate"
"15,SFM,init,2017-03-23,UBS,,Buy"
"16,SFM,down,2017-03-21,BMO Capital,,Market Perform"
"17,SFM,init,2017-01-20,William Blair,,Outperform"
"18,SFM,down,2017-01-19,Goldman Sachs,,Neutral"
"19,SFM,up,2016-09-30,Jefferies,,Buy"
"20,SFM,init,2016-09-23,Barclays,,Overweight"
"21,SFM,down,2016-09-08,Deutsche Bank,,Hold"
"22,SFM,main,2016-09-08,Citigroup,,Buy"
"23,SFM,main,2016-09-08,Macquarie,,Outperform"
"24,SFM,main,2016-09-08,SunTrust Robinson Humphrey,,Buy"
"25,SFM,main,2016-08-08,Citigroup,,Buy"
"26,SFM,down,2016-08-08,Northcoast Research,,Neutral"
"27,SFM,main,2016-08-05,JP Morgan,,Neutral"
"28,SFM,main,2016-08-05,Deutsche Bank,,Buy"
"29,SFM,up,2016-07-26,Goldman Sachs,,Buy"
"30,SFM,down,2016-07-20,OTR Global,,Negative"
"31,SFM,init,2016-07-18,JP Morgan,,Neutral"
"32,SFM,main,2016-07-14,Deutsche Bank,,Buy"
"33,SFM,down,2016-05-10,Goldman Sachs,,Sell"
"34,SFM,up,2016-04-12,Wolfe Research,,Outperform"
"35,SFM,main,2016-03-21,Deutsche Bank,,Buy"
"36,SFM,main,2016-02-26,Stifel Nicolaus,,Buy"
"37,SFM,init,2016-02-12,Stifel Nicolaus,,Buy"
"38,SFM,up,2016-02-03,OTR Global,,Mixed"
"39,SFM,init,2016-01-22,Wells Fargo,,Outperform"
"40,SFM,main,2015-11-06,Deutsche Bank,,Buy"
"41,SFM,init,2015-08-26,Jefferies,,Hold"
"42,SFM,up,2015-08-25,Deutsche Bank,,Buy"
"43,SFM,main,2015-08-07,Barclays,,Overweight"
"44,SFM,main,2015-08-07,Deutsche Bank,,Hold"
"45,SFM,main,2015-08-07,Oppenheimer,,Perform"
"46,SFM,down,2015-08-07,Stephens & Co.,,Equal-Weight"
"47,SFM,up,2015-07-29,Longbow Research,,Neutral"
"48,SFM,init,2015-06-17,Cleveland Research,,Neutral"
"49,SFM,init,2015-06-09,Macquarie,,Outperform"
"50,SFM,down,2015-06-08,Wolfe Research,,Peer Perform"
"51,SFM,up,2015-05-11,BMO Capital,,Outperform"
"52,SFM,main,2015-05-08,Deutsche Bank,,Hold"
"53,SFM,main,2015-05-08,Barclays,,Overweight"
"54,SFM,init,2015-03-20,Sterne Agee,,Neutral"
"55,SFM,main,2015-02-26,Deutsche Bank,,Hold"
"56,SFM,init,2015-02-25,BB&T Capital,,Buy"
"57,SFM,init,2015-01-22,Cowen & Co.,,Outperform"
"58,SFM,up,2015-01-21,Bank of America,,Buy"
"59,SFM,init,2014-12-05,Longbow Research,,Underperform"
"60,SFM,init,2014-09-19,Barclays,,Overweight"
"61,SFM,init,2014-09-18,PiperJaffray,,Neutral"
"62,SFM,init,2014-08-28,Wedbush,,Outperform"
"63,SFM,main,2014-08-11,Imperial Capital,,In-Line"
"64,SFM,init,2014-07-11,Longbow Research,,Neutral"
"65,SFM,init,2014-07-11,Imperial Capital,,In-Line"
"66,SFM,init,2014-06-25,Morgan Stanley,,Overweight"
"67,SFM,main,2014-05-08,Credit Suisse,,Neutral"
"68,SFM,down,2014-05-07,Deutsche Bank,,Hold"
"69,SFM,main,2014-05-02,Deutsche Bank,,Buy"
"70,SFM,up,2014-04-08,UBS,,Buy"
"71,SFM,init,2014-02-20,Oppenheimer,,Market Perform"
"72,SFM,init,2013-12-20,SunTrust Robinson Humphrey,,Neutral"
"73,SFM,main,2013-12-16,Deutsche Bank,,Buy"
"74,SFM,up,2013-12-11,Wolfe Research,,Outperform"
"75,SFM,init,2013-12-11,Credit Suisse,,Neutral"
"76,SFM,up,2013-12-11,Bank of America,,Neutral"
"77,SFM,init,2013-10-15,BMO Capital,,Market Perform"
"78,SFM,init,2013-09-27,Susquehanna,,Neutral"
"79,SFM,init,2013-09-25,Deutsche Bank,,Buy"
"80,SFM,init,2013-09-11,Wolfe Research,,Outperform"
"81,SFM,init,2013-09-10,Guggenheim,,Neutral"
"82,SFM,init,2013-09-10,Credit Suisse,,Neutral"
"83,SFM,init,2013-09-10,Goldman Sachs,,Neutral"
"84,SFM,init,2013-09-10,Bank of America,,Underperform"
"0,SPSC,down,2017-10-30,Benchmark,Hold,Sell"
"1,SPSC,main,2017-10-27,Canaccord Genuity,,Hold"
"2,SPSC,main,2017-10-27,Oppenheimer,,Outperform"
"3,SPSC,main,2017-10-27,Stifel Nicolaus,,Buy"
"4,SPSC,init,2017-07-21,Oppenheimer,,Outperform"
"5,SPSC,down,2017-02-08,Canaccord Genuity,,Hold"
"6,SPSC,down,2017-02-08,William Blair,,Market Perform"
"7,SPSC,down,2017-02-08,Pacific Crest,,Sector Weight"
"8,SPSC,init,2016-09-27,First Analysis,,Overweight"
"9,SPSC,main,2015-07-24,Stifel Nicolaus,,Buy"
"10,SPSC,main,2015-07-24,Canaccord Genuity,,Buy"
"11,SPSC,main,2014-04-25,Canaccord Genuity,,Buy"
"12,SPSC,main,2013-06-28,Stifel Nicolaus,,Buy"
"13,SPSC,init,2013-04-02,Maxim Group,,Buy"
"14,SPSC,up,2012-10-22,Canaccord Genuity,,Buy"
"15,SPSC,init,2012-06-21,Northland Securities,,Outperform"
"16,SPSC,main,2012-02-09,Feltl & Co.,,Strong Buy"
"17,SPSC,main,2012-02-09,Stifel Nicolaus,,Buy"
"0,SSNC,down,2018-01-16,William Blair,Outperform,Market Perform"
"1,SSNC,down,2017-12-12,JP Morgan,Overweight,Neutral"
"2,SSNC,up,2017-11-21,Raymond James,Outperform,Strong Buy"
"3,SSNC,main,2017-10-26,Morgan Stanley,,Overweight"
"4,SSNC,init,2017-09-15,DA Davidson,,Buy"
"5,SSNC,main,2017-07-14,Deutsche Bank,,Hold"
"6,SSNC,init,2017-04-06,UBS,,Buy"
"7,SSNC,up,2017-02-16,Macquarie,,Outperform"
"8,SSNC,up,2016-09-27,Morgan Stanley,,Overweight"
"9,SSNC,main,2016-07-28,Morgan Stanley,,Equal-Weight"
"10,SSNC,main,2016-07-11,Deutsche Bank,,Hold"
"11,SSNC,init,2016-05-13,RBC Capital,,Buy"
"12,SSNC,init,2016-03-29,Morgan Stanley,,Equal-Weight"
"13,SSNC,init,2016-03-28,Morgan Stanley,,Equal-Weight"
"14,SSNC,main,2016-03-15,Jefferies,,Buy"
"15,SSNC,main,2016-02-12,Deutsche Bank,,Hold"
"16,SSNC,up,2016-02-09,Raymond James,,Outperform"
"17,SSNC,main,2016-01-06,Avondale Partners,,Market Perform"
"18,SSNC,main,2015-11-03,Macquarie,,Neutral"
